scenario,filename,description,recommended_steps,primary_checks
balanced_pipeline,feature_matrix_with_qc_non_group_AfterVBA.xlsx,"Balanced multi-batch matrix with stable ISTDs, moderate drift, and usable PQN behavior.",Step 1 / Step 2 / Step 3 PQN,End-to-end smoke test across the whole pipeline.; Step 1 should not skip and should generate all diagnostics.; Step 3 PQN should run on a realistic but not pathological matrix.
strong_drift,strong_drift.xlsx,Long-run instrument drift dominates QC trajectories and LOWESS should have obvious work to do.,Step 2,QC trend plots should show clear drift over injection order.; LOWESS should reduce QC CV and flatten drift trajectories.
nonlinear_drift,nonlinear_drift.xlsx,"Piecewise drift simulates warm-up, plateau, and late-run recovery instead of a simple linear trend.",Step 2,LOWESS should handle non-linear QC trajectories without crashing.; Trend plots should show a visibly non-linear drift shape over injection order.
random_jump,random_jump.xlsx,Frequent abrupt spikes and drops simulate intermittent spray instability and random jump noise.,Step 2 / Step 3 PQN,Stress robustness to sudden spikes and dips.; Check whether QC-focused methods avoid overfitting isolated jumps.
carryover_memory,carryover_memory.xlsx,"Localized memory effects trail after strong injections, creating short carryover tails rather than smooth drift.",Step 2,Diagnostics should show local contamination clusters after strong injections.; Carryover should not be mistaken for a smooth whole-run trend.
strong_batch,strong_batch.xlsx,Large batch offsets persist after Step 1/2 and should be very visible in manual Step 4 diagnostics.,Step 3 PQN / Step 4 diagnostics (manual),Manual Step 4 batch diagnostics should show clear pre/post separation when explicitly run.; Residual analysis should visibly tighten after manual QC batch scaling diagnostics.
mixed_direction_batch_drift,mixed_direction_batch_drift.xlsx,"QC trends drift in different directions per batch, stressing Step 2/3 separation of within-batch drift and cross-batch offsets.",Step 2 / Step 3,QC trajectories should slope upward in one batch and downward in another.; Step 3 should still produce batch-alignment diagnostics after Step 2.
unstable_istd,unstable_istd.xlsx,"Internal standards are noisy, partly decoupled from shared sample factors, and contain more missingness.",Step 1,Step 1 ISTD tracking should reveal unstable correction compounds.; Use to verify Step 1 gate / quality diagnostics under weak ISTD conditions.
istd_degradation,istd_degradation.xlsx,"ISTDs decay with injection order, mimicking gradual standard degradation across the run.",Step 1,ISTD tracking should show a clear downward trend over injection order.; Step 1 gating should not treat these ISTDs as fully healthy.
istd_sample_interference,istd_sample_interference.xlsx,"ISTDs look acceptable in QC but are selectively suppressed in one real sample class, mimicking matrix-specific interference.",Step 1,QC-derived ISTD quality should look better than real-sample behavior.; Use to inspect whether Step 1 looks overconfident when only one sample class is affected.
order_confounding,order_confounding.xlsx,"Injection order is highly confounded with sample type, useful for stress-testing order-sensitive methods.",Step 2 / Step 3 PQN,Use when checking for over-correction risk when drift and biology align in time order.; Review whether biological separation is unintentionally flattened after correction.
specnorm_friendly,specnorm_friendly.xlsx,Creatinine values are linked to the dominant sample-wise dilution factor so SpecNorm+PQN normalization is meaningful.,Step 3 SpecNorm+PQN / Step 3 PQN,Preferred matrix for validating SpecNorm+PQN behavior.; Compare SpecNorm+PQN against PQN on a matrix with meaningful reference values.
matrix_effect_suppression,matrix_effect_suppression.xlsx,One real sample type experiences broad ion suppression across many analytes while QC remains comparatively well-behaved.,Step 1 / Step 3 PQN,Target sample type should show depressed global analyte intensity.; Useful for checking whether normalization appears over-optimistic under matrix-effect bias.
signal_saturation,signal_saturation.xlsx,"Highest-intensity analytes enter a compressed response regime, simulating detector saturation and nonlinear response.",Step 3 PQN / Step 3 SpecNorm+PQN,Upper-tail intensities should be visibly compressed relative to balanced_pipeline.; Normalization quality metrics should not look unrealistically perfect under nonlinear response.
structured_missingness,structured_missingness.xlsx,"Missing values cluster within one batch and sample type, stressing NaN handling in downstream summaries.",Step 3 PQN,Structured NaNs should not crash batch statistics or normalization summaries.; Use when validating graceful degradation under non-random missingness.
combined_stress,combined_stress.xlsx,"Stacked stress profile: stronger drift, stronger batch effects, random jumps, unstable ISTDs, and order confounding.",Step 1 / Step 2 / Step 3 PQN,Use as a broad regression stress test after major refactors.; Expect some steps to degrade gracefully rather than look ideal.
